0,2919,505,,,,,,,,,,,,,,,,,>60
1,3257,542,,,,,,,,,,,,,,,,,
2,3969,615,,,,,,,,,,,,,,,,,
3,5130,596,,,,,,,,,,,,,,,,,
4,6235,726,,,,,,,,,,,,,,,,,
5,7246,800,,,,,,,,,,,,,,,,,
6,7640,799,,,,,,,,,,,,,,,,,
7,7865,742,,,,,,,,,,,,,,,,,
8,7455,666,,,,,,,,,,,,,,,,,
9,7325,660,,,,,,,,,,,,,,,,,
10,7214,656,,,,,,,,,,,,,,,,,
11,6653,476,,,,,,,,,,,,,,,,,
12,6374,493,,,,,,,,,,,,,,,,,
13,6187,324,,,,,,,,,,,,,,,,,
14,6226,342,,,,,,,,,,,,,,,,,
15,6021,266,,,,,,,,,,,,,,,,,
16,6190,265,,,,,,,,,,,,,,,,,
17,6079,301,,,,,,,,,,,,,,,,,
18,5369,263,,,,,,,,,,,,,,,,,
19,4416,225,,,,,,,,,,,,,,,,,
